what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512374783590
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512374783590
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1512374792813
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1512374795859
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512374799094
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512374799094
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512374799110
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512374799126
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512374799141
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512374799157
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1512374799172
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512374799188
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512374799204
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512374799219
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512374799236
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512374799248
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512374799255
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1512374801540
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1512374801696
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1512374801727
started,bundle,com.adobe.flexbuilder.flexunit,4.7.0.349722,"com.adobe.flexbuilder.flexunit",1512374801852
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1512374802055
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1512374802676
started,bundle,com.adobe.flash.compiler,4.7.0.349722,"com.adobe.flash.compiler",1512374803005
error,log,,,"Unhandled event loop exception",1512374803036
started,bundle,com.adobe.flexbuilder.editors.derived,4.7.0.349722,"com.adobe.flexbuilder.editors.derived",1512374806131
